id,number,root_word,transliteration,pronunciation,tvm,entry
8758,H8758,,,,"<b>Stem:</b> Peel Or Peil See H8838 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 2<br>
",
8759,H8759,,,,"<b>Stem:</b> Peil See H8839 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 1<br>
",
8760,H8760,,,,"<b>Stem:</b> Peil See H8839 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 7<br>
",
8761,H8761,,,,"<b>Stem:</b> Piel See H8840 <br><b>Mood:</b> Imperative See H8810 <br><b>Count:</b> 446<br>
",
8762,H8762,,,,"<b>Stem:</b> Piel See H8840 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 2447<br>
",
8763,H8763,,,,"<b>Stem:</b> Piel See H8840 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 790<br>
",
8764,H8764,,,,"<b>Stem:</b> Piel See H8840 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 685<br>
",
8765,H8765,,,,"<b>Stem:</b> Piel See H8840 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 2121<br>
",
8766,H8766,,,,"<b>Stem:</b> Pilel See H8841 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 2<br>
",
8767,H8767,,,,"<b>Stem:</b> Pilel See H8841 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 1<br>
",
8768,H8768,,,,"<b>Stem:</b> Pilel See H8841 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 8<br>
",
8769,H8769,,,,"<b>Stem:</b> Pilpel See H8842 <br><b>Mood:</b> Imperative See H8810 <br><b>Count:</b> 1<br>
",
8770,H8770,,,,"<b>Stem:</b> Pilpel See H8842 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 18<br>
",
8771,H8771,,,,"<b>Stem:</b> Pilpel See H8842 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 7<br>
",
8772,H8772,,,,"<b>Stem:</b> Pilpel See H8842 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 9<br>
",
8773,H8773,,,,"<b>Stem:</b> Pilpel See H8842 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 19<br>
",
8774,H8774,,,,"<b>Stem:</b> Poal See H8843 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 1<br>
",
8775,H8775,,,,"<b>Stem:</b> Poal See H8843 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 4<br>
",
8776,H8776,,,,"<b>Stem:</b> Poal See H8843 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 8<br>
",
8777,H8777,,,,"<b>Stem:</b> Poalal See H8844 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 3<br>
",
8778,H8778,,,,"<b>Stem:</b> Poel See H8845 <br><b>Mood:</b> Imperative See H8810 <br><b>Count:</b> 1<br>
",
8779,H8779,,,,"<b>Stem:</b> Poel See H8845 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 29<br>
",
8780,H8780,,,,"<b>Stem:</b> Poel See H8845 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 5<br>
",
8781,H8781,,,,"<b>Stem:</b> Poel See H8845 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 28<br>
",
8782,H8782,,,,"<b>Stem:</b> Poel See H8845 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 11<br>
",
8783,H8783,,,,"<b>Stem:</b> Polal See H8846 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 2<br>
",
8784,H8784,,,,"<b>Stem:</b> Polal See H8846 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 1<br>
",
8785,H8785,,,,"<b>Stem:</b> Polal See H8846 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 2<br>
",
8786,H8786,,,,"<b>Stem:</b> Polel See H8847 <br><b>Mood:</b> Imperative See H8810 <br><b>Count:</b> 9<br>
",
8787,H8787,,,,"<b>Stem:</b> Polel See H8847 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 72<br>
",
8788,H8788,,,,"<b>Stem:</b> Polel See H8847 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 7<br>
",
8789,H8789,,,,"<b>Stem:</b> Polel See H8847 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 51<br>
",
8790,H8790,,,,"<b>Stem:</b> Polel See H8847 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 41<br>
",
8791,H8791,,,,"<b>Stem:</b> Polpal See H8848 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 1<br>
",
8792,H8792,,,,"<b>Stem:</b> Pual See H8849 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 93<br>
",
8793,H8793,,,,"<b>Stem:</b> Pual See H8849 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 1<br>
",
8794,H8794,,,,"<b>Stem:</b> Pual See H8849 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 194<br>
",
8795,H8795,,,,"<b>Stem:</b> Pual See H8849 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 199<br>
",
8796,H8796,,,,"<b>Stem:</b> Pulal See H8850 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 1<br>
",
8797,H8797,,,,"<b>Stem:</b> Pulal See H8850 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 21<br>
",
8798,H8798,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Imperative See H8810 <br><b>Count:</b> 2847<br>
",
8799,H8799,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 19885<br>
",
8800,H8800,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 4888<br>
",
8801,H8801,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 309<br>
",
8802,H8802,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Participle Active See H8814 <br><b>Count:</b> 5386<br>
",
8803,H8803,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Participle Passive See H8815 <br><b>Count:</b> 1415<br>
",
8804,H8804,,,,"<b>Stem:</b> Qal See H8851 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 12562 <br>
",
8805,H8805,,,,"<b>Stem:</b> Shaphel See H8852 <br><b>Mood:</b> Infinitive See H8812 <br><b>Count:</b> 2<br>
",
8806,H8806,,,,"<b>Stem:</b> Shaphel See H8852 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 4<br>
",
8807,H8807,,,,"<b>Stem:</b> Tiphel See H8853 <br><b>Mood:</b> Imperfect See H8811 <br><b>Count:</b> 1<br>
",
8808,H8808,,,,"<b>Stem:</b> Tiphel See H8853 <br><b>Mood:</b> Participle See H8813 <br><b>Count:</b> 1<br>
",
8809,H8809,,,,"<b>Stem:</b> Tiphel See H8853 <br><b>Mood:</b> Perfect See H8816 <br><b>Count:</b> 1<br>
",
8810,H8810,,,,"<b>Imperative </b><br>This verb class indicates an order or a command. Go up to the city. Wash yourself. 
",
8811,H8811,,,,"<b>Imperfect </b><br>The imperfect expresses an action, process or condition which is incomplete, and it has a wide range of meaning: <br>1a) It is used to describe a single (as opposed to a repeated) action in the past; it differs from the perfect in being more vivid and pictorial. The perfect expresses the ""fact"", the imperfect adds colour and movement by suggesting the ""process"" preliminary to its completion. He put forth his hand to the door it came to a halt I began to hear <br>1b) A phrase such as ""What seekest thou?"", refers not only to the present, but assumes that the search has continued for some time. <br>Why do you weep? Why refuse to eat? Why are you distressed? <br>These relate not so much as to one occasion, as to a continued condition. <br>2) The kind of progression or imperfection and unfinished condition of the action may consist in its frequent repetition. <br>2a) In the present: <br>it is ""said"" today a wise son ""maketh glad"" his father <br>2b) In the past: <br>""and so he did"" - regularly, year by year a mist ""used to go up"" the fish which ""we used to eat"" the manna ""came down"" -regularly He ""spoke"" -repeatedly <br>3) The imperfect is used to express the ""future"", referring not only to an action which is about to be accomplished but one which has not yet begun: <br>3a) This may be a future from the point of view of the real present; as: <br>Now ""shalt thou See what I will do"" ""We will burn"" thy house <br>3b) It may be a future from any other point of view assumed; as: He took his son that ""was to reign"" she stayed to See what ""should be done"" <br>4) The usage of 3b may be taken as the transitive to a common use of the imperfect in which it serves for an expression of those shades of relation among acts and thoughts for which English prefers the conditional moods. Such actions are strictly ""future"" in reference to the assumed point of relation, and the simple imperfect sufficiently expresses them; e.g. <br>of every tree thou ""mayest eat"" ""could we know"" He ""would"" say <br>5a) The imperfect follows particles expressing ""transition"", ""purpose"", ""result"" and so forth as, ""in order that"", ""lest""; e.g. <br>say thou art my sister, ""that it may be well with thee"" let us deal wisely with the nation, ""lest it multiplies"" <br>5b) When however there is a strong feeling of ""purpose"", or when it is meant to be strongly marked, then of course the moods are employed; e.g. <br>raise me up ""that I may requite them"" who will entice Ahab ""that he may go up"" what shall we do ""that the sea may be calm"" <br>The moods are also employed to express that class of future actions which we express in the ""optative"" </b><br>""may I die"" ""may"" the LORD ""establish"" his word ""may"" the child ""live"". 
",
8812,H8812,,,,"<b>Infinitive </b><br>There are two forms of the infinitive: <br>1a) Infinitive Construct is used as a verbal noun corresponding to the English verbal noun ending in ""- ing"" <br>1a1) as subject to keep the judgments to seek thy heart <br>1a2) as object in his ""writing"" He spoke, ""saying"" <br>1b) The Infinitive Absolute does not allow prefixes or suffixes <br>1b1) Used with a verb to emphasize the verbal idea. This is often rendered by an English adverb, such as, ""surely"", ""utterly"". He will surely visit you He utterly destroyed the people <br>1b2) It may be used by itself with the value of a finite form of the verb, especially an imperative. </b><br>remember the sabbath day. 
",
8813,H8813,,,,"<b>Participle </b><br>1) The participle represents an action or condition in its unbroken continuity, and corresponds to the English verb, ""to be"" with the present participle. It may be used of present, past or future time. </b><br>1a) present time what are you doing 1b) past time ""he was still speaking"" when another came 1c) future time we are destroying-e.g. are about to destroy. 
",
8814,H8814,,,,"<b>Participle Active </b><br>Active form of the participle. See H8813 for description of participle. 
",
8815,H8815,,,,"<b>Participle Passive </b><br>Passive form of the participle. See H8813 for description of participle. 
",
8816,H8816,,,,"<b>Perfect </b><br>The Perfect expresses a completed action. <br>1) In reference to time, such an action may be: <br>1a) one just completed from the standpoint of the present ""I have come"" to tell you the news <br>1b) one completed in the more or less distant past in the beginning God ""created"" ""I was (once) young"" and ""I have (now) grown old"" but ""I have not seen"" a righteous man forsaken <br>1c) one already completed from the point of view of another past act God saw everything that ""he had made"" <br>1d) one completed from the point of view of another action yet future I will draw for thy camels also until ""they have done"" drinking <br>2) The perfect is often used where the present is employed in English. <br>2a) in the case of general truths or actions of frequent occurrence--truths or actions which have been often experienced or observed the grass ""withereth"" the sparrow ""findeth"" a house <br>2b) an action or attitude of the past may be continued into the present ""I stretch out"" my hands to thee ""thou never forsakest"" those who seek thee <br>2c) the perfect of intransitive verbs is used where English uses the present; The perfect in Hebrew in such a case emphasises a condition which has come into ""complete existence"" and realisation ""I know"" thou wilt be king ""I hate"" all workers of iniquity <br>2d) Sometimes in Hebrew, future events are conceived so vividly and so realistically that they are regarded as Having virtually taken place and are described by the perfect. <br>2d1) in promises, threats and language of contracts the field ""give I"" thee and if not, ""I will take it"" <br>2d2) prophetic language my people ""is gone into captivity"" (i.e. shall assuredly go). 
",
8817,H8817,,,,"<b>Aphel </b><br>In Biblical Aramaic (Chaldean), the Aphel is a causative conjugation like the Hebrew Hiphil, but with the letter Aleph substituted for the initial He. Other changes in spelling also occur, but otherwise the verb functions similarly to the Hebrew Hiphil, expressing causative action. <br> See Hiphil H8818 
",
8818,H8818,,,,"<b>Hiphil </b><br>a) Hiphil usually expresses the ""causative"" action of Qal-See H8851 <br>Qal Hiphil He ate he caused to eat, he fed He came he caused to come, he brought He reigned he made king, he crowned <br>b) Hiphil is often used to form verbs from nouns and adjectives. <br>Noun or Adjective Hiphil <br>ear to listen (lend an ear) far to remove oneself, put far away <br>c) Some ""simple"" verbs are found in Hiphil. <br>to cast, to destroy, to get up early, to explain, to tell <br>The form accounts for 13.3% of the verbs parsed. 
",
8819,H8819,,,,"<b>Hithpael </b><br>a) This form primarily expresses a ""reflexive"" action of Qal or Piel See for Qal H8851<br>See for Piel H8840 <br>Qal Hithpael He wore he dressed himself He washed he washed himself He fell he flung himself, he fell upon, he attacked He sold he sold himself, he devoted himself <br>b) It expresses a reciprocal action. <br>they saw they looked upon one another they whispered they whispered one to another <br>c) Some verbs in Hithpael are translated as a simple action. The reflexive action is understood. He prayed, he mourned, he became angry <br>This form accounts for 1.4% of the verbs parsed. 
",
8820,H8820,,,,"<b>Hithpalel </b><br>This Hebrew form is equivalent in use to the Hithpael, and is causative/reflexive in meaning. The separate term occurs because certain verb forms reduplicate their final consonant and change into a quadriliteral (4-letter) root rather than the normal triliteral (3-letter) root form. <br> See Hithpael H8819 
",
8821,H8821,,,,"<b>Hithpalpel </b><br>This Hebrew form is equivalent in use to the Hithpael, and is causative/reflexive in meaning. The separate term occurs because certain verb forms reduplicate their final syllable (final two root letters) and change the normal triliteral (3-letter) root form into a reduplicated two-letter root. <br> See Hithpael H8819 
",
8822,H8822,,,,"<b>Hithpeil </b><br>In Biblical Aramaic (Chaldean), this form is a passive causative/ reflexive conjugation like the Hebrew Hophal. The verb functions similarly to the Hebrew Hophal, expressing passive causative action, but with the effect of the action upon oneself, being reflexive. <br> See Hophal H8825<br>See Hithpael H8819 
",
8823,H8823,,,,"<b>Hithpoel </b><br>A Hebrew intensive reflexive stem, caused by the lengthening of the final vowel in the second syllable of the triliteral (3-letter) root. This form functions similarly to the Hithpael. <br> See Hithpael H8819 
",
8824,H8824,,,,"<b>Hithpolel </b><br>This Hebrew form is equivalent in use to the Hithpael, and is causative/reflexive in meaning. The separate term occurs because certain verb forms reduplicate their final consonant and change into a quadriliteral (4-letter) root rather than the normal triliteral (3-letter) root form. This form additionally lengthens the initial vowel in the first consonant. <br> See Hithpael H8819 
",
8825,H8825,"Hophal Hophal is the ""passive"" of Hiphil-See H8818 Hiphil Hophal He told it was told He threw he was thrown",This form is accounts for 0.6% of the verbs parsed.,,,
8826,H8826,,,,"<b>Hothpael </b><br>This is a passive form of the Hithpael, indicating a passive intensive reflexive receiving of action upon the subject. It thus combines the features of both the Hithpael and the Hophal. <br> See Hithpael H8819<br>See Hophal H8825 
",
8827,H8827,,,,"<b>Ishtaphel </b><br>In Aramaic (Chaldean), this form is similar to the Hebrew Hithpael, with its form altered due to an initial Aleph and a metathesized (reversed) Tau and Shin. This form occurs only rarely with verbs meeting particular spelling qualities. <br> See Hithpael H8819 
",
8828,H8828,,,,"<b>Ithpael </b><br>In Aramaic (Chaldean), this form is similar to the Hebrew Hithpael, with its form altered due to an initial Aleph. This form reflects the intensive causative, and occurs only rarely with verbs meeting particular spelling qualities. <br> See Hithpael H8819 
",
8829,H8829,,,,"<b>Ithpeal </b><br>In Aramaic (Chaldean), this form is similar to the Hebrew Hithpael, with its form altered due to an initial Aleph. However, this form reflects only the intensive reflexive of the common stem (Peal = Hebrew Qal). This form occurs only rarely with verbs meeting particular spelling qualities. <br> See Hithpael H8819<br>See Qal H8851 
",
8830,H8830,,,,"<b>Ithpeel </b><br>In Aramaic (Chaldean), this form is similar to the Hebrew Hithpael, with its form altered due to an initial Aleph. However, this form reflects only the reflexive of the intensive stem, and functions like a Hebrew Piel and Hithpael combined. <br> See Hithpael H8819<br>See Piel H8840 
",
8831,H8831,,,,"<b>Ithpeil </b><br>In Aramaic (Chaldean), this form is similar to the Hebrew Hithpael, with its form altered due to an initial Aleph. However, this form reflects only the passive intensive reflexive, and functions like the Hithpael and Hophal combined. <br> See Hithpael H8819<br>See Hophal H8825 
",
8832,H8832,,,,"<b>Ithpolel </b><br>This Aramaic (Chaldean) form is equivalent in use to the Hebrew Hithpolel, and is causative/reflexive in meaning like the Hithpael. The separate term occurs because certain verb forms reduplicate their final consonant and change into a quadriliteral (4-letter) root rather than the normal triliteral (3-letter) root form. This form additionally lengthens the initial vowel in the first consonant. <br> See Hithpael H8819<br>See Hithpolel H8824 
",
8833,H8833,,,,"<b>Niphal </b><br>a) Niphal is the ""passive"" of Qal-See H8851 <br>Qal Niphal He saw he was seen, he appeared He saw the angel the angel was seen He sent he was sent He created it was created <br>b) Niphal sometimes expresses a ""reflexive"" action. He guarded he was guarded, also He guarded himself <br>c) Several verbs use Niphal, although they express simple action and are active in English. Common examples are: He fought, he remained, he swore, he entered </b><br>This form accounts for 6.0% of the verbs parsed. 
",
8834,H8834,,,,"<b>Nithpael </b><br>This form is a passive intensive reflexive, combining both the qualities of the Niphal and Hithpael. Example: Eze 23:48, ""that they may be taught"" (= caused to learn). <br> See Niphal H8833<br>See Hithpael H8819 
",
8835,H8835,,,,"<b>Pael </b><br>In Aramaic (Chaldean), the intensive form of the verb, equivalent of the Hebrew Piel. <br> See Piel H8840 
",
8836,H8836,,,,"<b>Palpal (NOT USED) </b><br>A form of a triliteral verb such as ""palal"" which reduplicates the first syllable for euphony. This form otherwise functions like the normal Qal stem. <br> See Qal H8851 
",
8837,H8837,,,,"<b>Peal </b><br>In Aramaic (Chaldean), this form represents the base stem of the verb, and is equivalent to the Hebrew Qal stem. <br> See Qal H8851 
",
8838,H8838,,,,"<b>Peel Or Peil </b><br>In Aramaic (Chaldean), this stem reflects the Passive Intensive form, and is equivalent to the Hebrew Pual. <br> See Pual H8849 
",
8839,H8839,,,,"<b>Peil </b><br>In Aramaic (Chaldean), this stem reflects the Intensive form, and is equivalent to the Hebrew Piel. <br> See Piel H8840 
",
8840,H8840,,,,"<b>Piel </b><br>a) Piel usually expresses an ""intensive"" or ""intentional"" action. <br>Qal Piel He broke he broke to pieces, he smashed He sent he sent away, he expelled <br>b) Sometimes the Piel introduces a new meaning to the Qal form. He counted he recounted, he told He completed he paid, he compensated He learned he taught <br>c) Piel expresses a ""repeated"" or ""extended"" action. He jumped he skipped, he hopped <br>d) Some intransitive verbs in Qal become transitive in Piel. <br>to be strong to strengthen, to fortify to become great to make great. 
",
8841,H8841,,,,"<b>Pilel </b><br>This form is equivalent to the Piel intensive form, and occurs due to reduplication of the final root letter. <br> See Piel H8840 
",
8842,H8842,,,,"<b>Pilpel </b><br>This form is equivalent to the Piel intensive form, and occurs due to reduplication of the final root syllable. <br> See Piel H8840 
",
8843,H8843,,,,"<b>Poal </b><br>This form is the passive of the Poel, and functions much like the normal Pual. <br> See Pual H8849<br>See Poel H8845 
",
8844,H8844,,,,"<b>Poalal </b><br>This form is identical to the Poal, but reduplicates the final root syllable. It functions much like the normal Pual. <br> See Poal H8843<br>See Pual H8849 
",
8845,H8845,,,,"<b>Poel </b><br>This form functions much like the normal Piel, and arises only due to certain internal vowel changes. <br> See Piel H8840 
",
8846,H8846,,,,"<b>Polal </b><br>This form is identical to the Poal, but reduplicates the final root letter. It functions much like the normal Pual. <br> See Poal H8843<br>See Pual H8849 
",
8847,H8847,,,,"<b>Polel </b><br>This form reduplicates the final root letter, but functions like the normal Piel. <br> See Piel H8840 
",
8848,H8848,,,,"<b>Polpal </b><br>This form reduplicates the initial root syllable, and functions like the normal Pual. <br> See Pual H8849 
",
8849,H8849,,,,"<b>Pual </b><br>Pual is the ""passive"" of Piel-See H8840 <br>Piel Pual He smashed it was smashed He told it was told <br>This form accounts for 0.7% of the verbs parsed. 
",
8850,H8850,,,,"<b>Pulal </b><br>This form reduplicates the final root syllable and is otherwise equivalent to the normal Pual. <br> See Pual H8849 
",
8851,H8851,Qal,"Qal is the most frequently used verb pattern. It expresses the ""simple"" or ""causal"" action of the root in the active voice.","Examples: He sat, he ate, he went, he said, he rose, he bought",,This form accounts for 66.7% of the verbs parsed.
8852,H8852,,,,"<b>Shaphel </b><br>A rare Aramaic (Chaldean) form, this reflects a causative like the Hebrew Hiphil, but with a Shin prefixed rather than the usual He. It otherwise functions like the Hebrew Hiphil. <br> See Hiphil H8818 
",
8853,H8853,,,,"<b>Tiphel </b><br>A rare Hebrew form, this reflects a causative like the Hebrew Hiphil, but with a Tau prefixed rather than the usual He. It otherwise functions like the Hebrew Hiphil. <br> See Hiphil H8818 
",
8854,G1,&#913;,A,al'-fah,,"Of Hebrew origin; the first letter of the alphabet: figuratively only (from its use as a numeral) the <i>first</i>. Often used (usually "" an"", before a vowel) also in composition (as a contraction from G427) in the sense of <i>privation</i> ; so in many words beginning with this letter; occasionally in the sense of <i>union</i>  (as a contraction of G260): - Alpha."
8855,G2,&#913;&#787;&#945;&#961;&#969;&#769;&#957;,Aaro&#772;n,ah-ar-ohn',,"Of Hebrew origin [H175]; <i>Aaron</i>, the brother of Moses: - Aaron."
8856,G3,&#913;&#787;&#946;&#945;&#948;&#948;&#969;&#769;&#957;,Abaddo&#772;n,ab-ad-dohn',,Of Hebrew origin [H11]; a destroying <i>angel:</i>  - Abaddon.
8857,G4,&#945;&#787;&#946;&#945;&#961;&#951;&#769;&#962;,abare&#772;s,ab-ar-ace',,"From G1 (as a negative particle) and G922; <i>weightless</i>, that is (figuratively) <i>not burdensome:</i>  - from being burdensome."
8858,G5,&#913;&#787;&#946;&#946;&#945;&#834;,Abba,ab-bah',,Of Chaldee origin [H2]; <i>father</i>  (as a vocative): - Abba.
8859,G6,&#913;&#787;&#769;&#946;&#949;&#955;,Abel,ab'-el,,"Of Hebrew origin [H1893]; <i>Abel</i>, the son of Adam: - Abel."
8860,G7,&#913;&#787;&#946;&#953;&#945;&#769;,Abia,ab-ee-ah',,"Of Hebrew origin [H29]; <i>Abijah</i>, the name of two Israelites: - Abia."
8861,G8,&#913;&#787;&#946;&#953;&#945;&#769;&#952;&#945;&#961;,Abiathar,ab-ee-ath'-ar,,"Of Hebrew origin [H54]; <i>Abiathar</i>, an Israelite: - Abiathar."
8862,G9,&#913;&#787;&#946;&#953;&#955;&#951;&#957;&#951;&#769;,Abile&#772;ne&#772;,ab-ee-lay-nay',,"Of foreign origin (compare [H58]); <i>Abilene</i>, a region of Syria: - Abilene."
8863,G10,&#913;&#787;&#946;&#953;&#959;&#965;&#769;&#948;,Abioud,ab-ee-ood',,"Of Hebrew origin [H31]; <i>Abihud</i>, an Israelite: - Abiud."
8864,G11,&#913;&#787;&#946;&#961;&#945;&#945;&#769;&#956;,Abraam,ab-rah-am',,"Of Hebrew origin [H85]; <i>Abraham</i>, the Hebrew patriarch. In Act_7:16 the text should probably read <i>Jacob:</i>  - Abraham."
8865,G12,&#945;&#787;&#769;&#946;&#965;&#963;&#963;&#959;&#962;,abussos,ab'-us-sos,,"From G1 (as a negative particle) and a variation of G1037; <i>depthless</i>, that is, (specifically), (infernal) <i>"" abyss"" :</i>  - deep, (bottomless) pit."
8866,G13,&#913;&#787;&#769;&#947;&#945;&#946;&#959;&#962;,Agabos,ag'-ab-os,,"Of Hebrew origin (compare [H2285]); <i>Agabus</i>, an Israelite: - Agabus."
8867,G14,&#945;&#787;&#947;&#945;&#952;&#959;&#949;&#961;&#947;&#949;&#769;&#969;,agathoergeo&#772;,ag-ath-er-gheh'-o,,From G18 and G2041; to <i>work good:</i>  - do good.
8868,G15,&#945;&#787;&#947;&#945;&#952;&#959;&#960;&#959;&#953;&#949;&#769;&#969;,agathopoieo&#772;,ag-ath-op-oy-eh'-o,,From G17; to <i>be a well-doer</i>  (as a favor or a duty): - (when) do good (well).
8869,G16,&#945;&#787;&#947;&#945;&#952;&#959;&#960;&#959;&#953;&#953;&#836;&#769;&#945;,agathopoiia,ag-ath-op-oy-ee'-ah,,"From G17; <i>well-doing</i>, that is, <i>virtue:</i>  - well-doing."
8870,G17,&#945;&#787;&#947;&#945;&#952;&#959;&#960;&#959;&#953;&#959;&#769;&#962;,agathopoios,ag-ath-op-oy-os',,"From G18 and G4160; a <i>well-doer</i>, that is, <i>virtuous:</i>  - them that do well."
8871,G18,&#945;&#787;&#947;&#945;&#952;&#959;&#769;&#962;,agathos,ag-ath-os',,"A primary word; "" good""  (in any sense, often as noun): - benefit, good (-s, things), well. Compare G2570."
8872,G19,&#945;&#787;&#947;&#945;&#952;&#969;&#963;&#965;&#769;&#957;&#951;,agatho&#772;sune&#772;,ag-ath-o-soo'-nay,,"From G18; <i>goodness</i>, that is, <i>virtue</i>  or <i>beneficence:</i>  - goodness."
8873,G20,&#945;&#787;&#947;&#945;&#955;&#955;&#953;&#769;&#945;&#963;&#953;&#962;,agalliasis,ag-al-lee'-as-is,,"From G21; <i>exultation</i> ; specifically <i>welcome:</i>  - gladness, (exceeding) joy."
8874,G21,&#945;&#787;&#947;&#945;&#955;&#955;&#953;&#945;&#769;&#969;,agalliao&#772;,ag-al-lee-ah'-o,,"From &#945;&#787;&#769;&#947;&#945;&#957; agan (<i>much</i>) and G242; properly to <i>jump for joy</i>, that is, <i>exult:</i>  - be (exceeding) glad, with exceeding joy, rejoice (greatly)."
8875,G22,&#945;&#787;&#769;&#947;&#945;&#956;&#959;&#962;,agamos,ag'-am-os,,From G1 (as a negative particle) and G1062; <i>unmarried:</i>  - unmarried.
8876,G23,&#945;&#787;&#947;&#945;&#957;&#945;&#954;&#964;&#949;&#769;&#969;,aganakteo&#772;,ag-an-ak-teh'-o,,"From &#945;&#787;&#769;&#947;&#945;&#957; agan (<i>much</i>) and &#945;&#787;&#769;&#967;&#952;&#959;&#962; achhos&#772; (<i>grief</i> ; akin to the base of G43); to <i>be greatly afflicted</i>, that is, (figuratively) <i>indignant:</i>  - be much (sore) displeased, have (be moved with, with) indignation."
8877,G24,&#945;&#787;&#947;&#945;&#957;&#945;&#769;&#954;&#964;&#951;&#963;&#953;&#962;,aganakte&#772;sis,ag-an-ak'-tay-sis,,From G23; <i>indignation:</i>  - indignation.
8878,G25,&#945;&#787;&#947;&#945;&#960;&#945;&#769;&#969;,agapao&#772;,ag-ap-ah'-o,,Perhaps from &#945;&#787;&#769;&#947;&#945;&#957; agan (<i>much</i> ; or compare [H5689]); to <i>love</i>  (in a social or moral sense): - (be-) love (-ed). Compare G5368.
8879,G26,&#945;&#787;&#947;&#945;&#769;&#960;&#951;,agape&#772;,ag-ah'-pay,,"From G25; <i>love</i>, that is, <i>affection</i>  or <i>benevolence</i> ; specifically (plural) a <i>love feast:</i>  - (feast of) charity ([-ably]), dear, love."
8880,G27,&#945;&#787;&#947;&#945;&#960;&#951;&#964;&#959;&#769;&#962;,agape&#772;tos,ag-ap-ay-tos',,"From G25; <i>beloved:</i>  - (dearly, well) beloved, dear."
8881,G28,&#913;&#787;&#769;&#947;&#945;&#961;,Agar,ag'-ar,,"Of Hebrew origin [H1904]; <i>Hagar</i>, the concubine of Abraham: - Hagar."
8882,G29,&#945;&#787;&#947;&#947;&#945;&#961;&#949;&#965;&#769;&#969;,aggareuo&#772;,ang-ar-yew'-o,,"Of foreign origin (compare [H104]); properly to <i>be a courier</i>, that is, (by implication) to <i>press</i>  into public service: - compel (to go)."
8883,G30,&#945;&#787;&#947;&#947;&#949;&#953;&#834;&#959;&#957;,aggeion,ang-eye'-on,,"From &#945;&#787;&#769;&#947;&#954;&#945;&#769;&#955;&#951; aggos (a <i>pail</i>, perhaps as <i>bent</i> ; compare the base of G43); a <i>receptacle:</i>  - vessel."
8884,G31,&#945;&#787;&#947;&#947;&#949;&#955;&#953;&#769;&#945;,aggelia,ang-el-ee'-ah,,"From G32; an <i>announcement</i>, that is, (by implication) <i>precept:</i>  - message."
